season,week,game_date,punter,punting_team_pfr,dst_team_pfr,game_location,result,punt_attempts,punt_yards,punt_blocks
1997,7,1997-10-12,Brad Maynard,NYG,ARI,@,W 27-13,6,244,1
1997,7,1997-10-12,Tom Hutton,PHI,JAX,@,L 21-38,4,160,1
1997,7,1997-10-12,Will Brice,STL,SFO,@,L 10-30,7,280,1
1997,12,1997-11-16,Kyle Richardson,SEA,NOR,@,L 17-20 (OT),3,121,1
1997,13,1997-11-23,Kyle Richardson,SEA,KAN,,L 14-19,5,203,1
1997,14,1997-11-30,Tommy Thompson,SFO,KAN,@,L 9-44,3,112,1
1997,16,1997-12-14,Sean Landeta,TAM,NYJ,@,L 0-31,9,373,1
1997,16,1997-12-14,Brian Hansen,NYJ,TAM,,W 31-0,5,220,1
1997,17,1997-12-20,Chris Mohr,BUF,GNB,@,L 21-31,6,207,1
1997,18,1997-12-27,Tom Rouen,DEN,JAX,,W 42-17,2,99,1
1998,5,1998-10-04,Tom Rouen,DEN,PHI,,W 41-16,5,234,1
1998,6,1998-10-11,Scott Player,ARI,CHI,,W 20-7,4,197,1
1998,6,1998-10-11,Kyle Richardson,BAL,TEN,,L 8-12,8,345,1
1998,8,1998-10-26,Louie Aguiar,KAN,PIT,,L 13-20,4,168,1
1998,9,1998-11-01,Lee Johnson,CIN,DEN,,L 26-33,2,73,1
1998,9,1998-11-01,Kyle Richardson,BAL,JAX,,L 19-45,3,130,1
1998,14,1998-12-06,Klaus Wilmsmeyer,MIA,OAK,@,W 27-17,7,281,1
1998,15,1998-12-13,Matt Turk,WAS,CAR,@,W 28-25,5,232,1
1998,15,1998-12-13,Toby Gowin,DAL,KAN,@,L 17-20,5,219,1
1998,17,1998-12-27,Brad Costello,CIN,TAM,,L 0-35,3,143,1
1998,20,1999-01-17,Tom Rouen,DEN,NYJ,,W 23-10,7,317,1
1999,1,1999-09-12,Will Brice,CIN,TEN,@,L 35-36,3,189,1
1999,3,1999-09-26,Hunter Smith,IND,SDG,@,W 27-19,2,84,1
1999,4,1999-10-03,Chad Stanley,SFO,TEN,,W 24-22,5,195,1
1999,5,1999-10-10,Will Brice,CIN,CLE,@,W 18-17,6,288,1
1999,8,1999-10-31,Hunter Smith,IND,DAL,,W 34-24,3,145,1
1999,8,1999-10-31,Daniel Pope,KAN,SDG,,W 34-0,6,282,1
1999,10,1999-11-14,Kyle Richardson,BAL,JAX,@,L 3-6,8,341,1
1999,11,1999-11-22,Leo Araguz,OAK,DEN,@,L 21-27 (OT),6,182,1
1999,15,1999-12-18,Chad Stanley,SFO,CAR,@,L 24-41,2,77,1
1999,15,1999-12-19,Sean Landeta,PHI,NWE,,W 24-9,10,365,1
1999,17,2000-01-02,Daniel Pope,KAN,OAK,,L 38-41 (OT),8,314,1
1999,19,2000-01-15,Tom Hutton,MIA,JAX,@,L 7-62,8,356,1
